Gap,Reaction Time,undergraduate gpa,Exp avg,Sop avg,GPA avg,LoR avg,distance to campus,length,Response-letter sent,last 60/90 gpa,decision 1,decision 2,academic con,campus1,campus2,campus3,campus4,campus5,dposit received,follow up,1411,272,1632,1645,master or not,term,1st gen,residency,response
0.681264407,2.026808427,0.872351388,0.947221533,0.725592665,0.78595137,1.344584423,0.033120592,0.920614828,0.080221867,4.970915715,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
0.085308241,1.117725236,0.872351388,0.631481022,0.846524776,0.78595137,0.941209096,0.037360636,1.380922242,0.320887467,5.085002305,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
0.30518723,1.192240251,0.872351388,0.947221533,0.967456886,0.52396758,0.941209096,0.016773913,1.380922242,0.2406656,4.481973185,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1
1.249585508,1.236949261,0.872351388,0.631481022,0.846524776,0.52396758,0.806750654,0.032248703,1.380922242,0.441220267,4.661252113,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
5.156943271,1.058113223,0.875401568,0.789351278,0.846524776,1.178927055,0.941209096,0.088267151,0.920614828,0.040110933,5.655435256,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
0.347240588,1.251852264,0.875401568,0.947221533,0.725592665,0.78595137,1.210125981,0.037382183,0.920614828,0.160443734,5.590242919,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
0.365263456,1.728748364,0.875401568,0.947221533,0.725592665,0.78595137,1.075667538,0.002771095,0.920614828,0.1203328,5.476156328,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.243909479,1.385979292,0.875401568,0.789351278,0.846524776,0.78595137,0.806750654,0.028418319,1.380922242,0.561553068,5.55764675,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.32921772,1.013404214,0.875401568,0.631481022,0.725592665,0.52396758,0.806750654,0.013885153,1.380922242,0.280776534,5.003511883,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
0.135772272,1.147531242,0.875401568,0.631481022,0.725592665,0.78595137,0.537833769,6.019259291,0.920614828,0.842329601,5.296877401,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
